order_id,customer_id,order_date,product_id,quantity,unit_price,total_amount,order_status,payment_date
ORD-000001,CUST-02332,2023-09-19,PROD-0271,2,371.73,743.46,Pending,2023-09-20
ORD-000002,CUST-08310,2023-05-28,PROD-0175,4,165.85,663.40,Completed,2023-05-31
ORD-000003,CUST-00709,2025-01-01,PROD-0312,1,755.89,755.89,Completed,2025-01-04
ORD-000004,CUST-08390,2023-07-30,PROD-0348,6,533.85,3203.10,Completed,2023-08-01
ORD-000005,CUST-02759,2024-10-31,PROD-0197,1,469.50,469.50,Completed,2024-10-31
ORD-000006,CUST-08456,2023-10-08,PROD-0184,5,779.55,3897.75,Pending,2023-10-10
ORD-000007,CUST-06401,2025-05-21,PROD-0465,1,119.49,119.49,Cancelled,2025-05-24
ORD-000008,CUST-02052,2024-11-22,PROD-0112,5,516.57,2582.85,Completed,2024-11-23
ORD-000009,CUST-05651,2025-07-14,PROD-0423,6,190.58,1143.48,Cancelled,2025-07-16
ORD-000010,CUST-07219,2023-05-31,PROD-0131,5,235.36,1176.80,Completed,2023-06-02
ORD-000011,CUST-00587,2024-08-05,PROD-0457,7,436.65,3056.55,Completed,2024-08-05
ORD-000012,CUST-04423,2023-11-17,PROD-0486,1,1019.45,1019.45,Completed,2023-11-20
ORD-000013,CUST-05715,2024-01-28,PROD-0203,6,1480.43,8882.58,Cancelled,2024-01-28
ORD-000014,CUST-06336,2025-01-31,PROD-0302,4,345.63,1382.52,Completed,2025-02-01
ORD-000015,CUST-04376,2025-11-30,PROD-0320,6,21.50,129.00,Completed,2025-12-03
ORD-000016,CUST-04535,2024-11-09,PROD-0319,3,677.25,2031.75,Completed,2024-11-09
ORD-000017,CUST-09904,2025-05-08,PROD-0177,6,830.55,4983.30,Completed,2025-05-11
ORD-000018,CUST-09958,2023-09-18,PROD-0143,8,139.72,1117.76,Completed,2023-09-20
ORD-000019,CUST-08234,2024-03-10,PROD-0001,5,423.14,2115.70,Returned,2024-03-13
ORD-000020,CUST-07663,2025-10-13,PROD-0404,5,1197.70,5988.50,Completed,2025-10-14
ORD-000021,CUST-01834,2023-12-25,PROD-0011,8,374.31,2994.48,Completed,2023-12-26
ORD-000022,CUST-00577,2025-03-19,PROD-0092,4,138.80,555.20,Completed,2025-03-20
ORD-000023,CUST-07828,2023-08-10,PROD-0453,8,762.83,6102.64,Completed,2023-08-12
ORD-000024,CUST-02169,2025-05-31,PROD-0156,4,447.51,1790.04,Completed,2025-06-01
ORD-000025,CUST-00374,2023-03-30,PROD-0345,8,43.87,350.96,Completed,2023-04-02
ORD-000026,CUST-02106,2024-08-11,PROD-0421,4,936.30,3745.20,Completed,2024-08-13
ORD-000027,CUST-08145,2024-06-24,PROD-0388,8,1062.10,8496.80,Completed,2024-06-25
ORD-000028,CUST-09914,2024-09-02,PROD-0116,1,321.16,321.16,Completed,2024-09-03
ORD-000029,CUST-04913,2023-05-15,PROD-0202,4,1161.45,4645.80,Pending,2023-05-18
ORD-000030,CUST-08667,2023-02-18,PROD-0081,1,196.71,196.71,Completed,2023-02-20
ORD-000031,CUST-08317,2024-04-24,PROD-0138,5,208.80,1044.00,Completed,2024-04-26
ORD-000032,CUST-09758,2024-07-09,PROD-0389,7,838.65,5870.55,Completed,2024-07-11
ORD-000033,CUST-04006,2023-06-21,PROD-0475,5,935.23,4676.15,Completed,2023-06-23
