product_id,product_name,category,price,cost,stock_quantity,reorder_level
PROD-0001,Webcam 001,Electronics,423.14,229.95,324,72
PROD-0002,Resistance Bands 002,Sports,1079.35,571.05,358,50
PROD-0003,Webcam 003,Electronics,1490.11,792.85,504,88
PROD-0004,Body Lotion 004,Beauty,698.21,431.58,824,42
PROD-0005,Cotton T-Shirt 005,Clothing,1059.45,401.79,76,38
PROD-0006,Bluetooth Speaker 006,Electronics,961.29,369.47,233,82
PROD-0007,Face Cleanser 007,Beauty,98.59,56.47,689,110
PROD-0008,Face Cleanser 008,Beauty,589.53,306.49,294,18
PROD-0009,Bluetooth Speaker 009,Electronics,783.18,514.18,925,147
PROD-0010,Yoga Mat 010,Sports,1349.53,511.25,624,132
PROD-0011,Water Bottle 011,Sports,374.31,254.45,704,66
PROD-0012,Wool Sweater 012,Clothing,1359.72,795.05,41,17
PROD-0013,Coffee Maker 013,Home,679.73,463.20,179,91
PROD-0014,Modern Fiction 014,Books,368.60,189.70,126,10
PROD-0015,Bluetooth Speaker 015,Electronics,716.63,307.10,914,7
PROD-0016,Storage Basket 016,Home,1173.13,557.57,219,30
PROD-0017,Yoga Mat 017,Sports,991.28,350.35,161,41
PROD-0018,Table Lamp 018,Home,204.04,125.60,388,33
PROD-0019,Throw Pillow 019,Home,96.00,56.68,415,121
PROD-0020,Webcam 020,Electronics,994.17,696.58,516,134
PROD-0021,Resistance Bands 021,Sports,38.57,26.44,799,90
PROD-0022,Denim Jacket 022,Clothing,1398.41,1005.19,840,18
PROD-0023,Business Strategy 023,Books,529.00,268.00,480,22
PROD-0024,Wireless Headphones 024,Electronics,472.79,287.63,470,77
PROD-0025,Business Strategy 025,Books,8.72,6.73,448,8
PROD-0026,Table Lamp 026,Home,926.88,468.60,731,148
PROD-0027,Business Strategy 027,Books,491.71,275.04,780,136
PROD-0028,Cookbook 028,Books,179.81,87.29,461,50
PROD-0029,Running Shoes 029,Clothing,334.58,253.81,852,30
PROD-0030,Table Lamp 030,Home,963.87,575.60,768,43
PROD-0031,Yoga Mat 031,Sports,288.69,108.09,423,81
PROD-0032,Wireless Headphones 032,Electronics,401.54,163.70,563,13
PROD-0033,Hair Serum 033,Beauty,770.55,554.91,34,31
PROD-0034,Water Bottle 034,Sports,919.04,593.89,661,8
PROD-0035,Resistance Bands 035,Sports,1098.64,849.15,830,12
